coverage_ratio,inspection_success_rate,mission_time,total_energy_consumption,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.31125,0.0,138,61.29999999999994,0,0,100,0,4,0,4,0.0,,0.45749999999999996
0.3125,0.0,139,61.54999999999994,0,0,101,0,4,0,4,0.0,,0.1575
0.315,0.0,140,61.79999999999994,0,0,102,0,4,0,4,0.0,,0.3575
0.31875,0.0,141,62.04999999999994,0,0,103,0,4,0,4,0.0,,0.5575000000000001
0.32,0.0,142,62.29999999999994,0,0,104,0,4,0,4,0.0,,0.1575
0.32125,0.0,143,62.54999999999994,0,0,105,0,4,0,4,0.0,,0.1575
0.3225,0.0,144,62.79999999999994,0,0,105,0,4,0,4,0.0,,0.1775
0.323125,0.0,145,63.04999999999994,0,0,105,0,4,0,4,0.0,,0.07750000000000001
0.323125,0.0,146,63.29999999999994,0,0,105,0,4,0,4,0.0,,-0.0225
0.32375,0.0,147,63.54999999999994,0,0,105,0,4,0,4,0.0,,0.07750000000000001
0.324375,0.0,148,63.79999999999994,0,0,105,0,4,0,4,0.0,,0.07750000000000001
0.325,0.0,149,64.04999999999994,0,0,105,0,4,0,4,0.0,,0.07750000000000001
0.325,0.0,150,64.29999999999993,0,0,105,0,4,0,4,0.0,,-0.02249999999999929
0.325,0.0,151,64.54999999999991,0,0,105,0,4,0,4,0.0,,-0.02249999999999929
0.325,0.0,152,64.7999999999999,0,0,105,0,4,0,4,0.0,,-0.02249999999999929
0.325,0.0,153,65.04999999999988,0,0,105,0,4,0,4,0.0,,-0.02249999999999929
0.325625,0.0,154,65.29999999999987,0,0,105,0,4,0,5,0.0,,0.07750000000000072
0.32875,0.0,155,65.54999999999986,0,0,105,0,4,0,5,0.0,,0.4775000000000007
0.330625,0.0,156,65.79999999999984,0,0,105,0,5,0,6,0.0,,3.2775000000000007
0.3325,0.0,157,66.04999999999983,0,0,105,0,5,0,6,0.0,,0.27750000000000075
0.33375,0.0,158,66.29999999999981,0,0,105,0,5,0,6,0.0,,0.1775000000000007
0.33625,0.0,159,66.5499999999998,0,0,106,0,5,0,6,0.0,,0.3575000000000007
0.3375,0.0,160,66.79999999999978,0,0,107,0,5,0,6,0.0,,0.15750000000000072
0.34125,0.0,161,67.04999999999977,0,0,108,0,5,0,6,0.0,,0.5575000000000008
0.343125,0.0,162,67.29999999999976,0,0,109,0,5,0,6,0.0,,0.25750000000000073
0.344375,0.0,163,67.54999999999974,0,0,110,0,5,0,6,0.0,,0.15750000000000072
