coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,reward
0.223125,0.0,0.375,0,104,52.79999999999994,93.50000000000037,76.85000000000011,75.80000000000007,0,0,66,0,3,0,3,0.0,,0.45749999999999996
0.225,0.0,0.375,0,105,53.04999999999994,93.45000000000037,76.75000000000011,75.70000000000007,0,0,67,0,3,0,3,0.0,,0.2575
0.22875,0.0,0.375,0,106,53.29999999999994,93.40000000000038,76.65000000000012,75.60000000000008,0,0,68,0,3,0,3,0.0,,0.5575000000000001
0.231875,0.0,0.375,0,107,53.54999999999994,93.35000000000038,76.55000000000013,75.50000000000009,0,0,69,0,3,0,3,0.0,,0.45749999999999996
0.23375,0.0,0.375,0,108,53.79999999999994,93.30000000000038,76.45000000000013,75.40000000000009,0,0,70,0,3,0,3,0.0,,0.2575
0.2375,0.0,0.375,0,109,54.04999999999994,93.25000000000038,76.35000000000014,75.3000000000001,0,0,71,0,3,0,3,0.0,,0.5575000000000001
0.24,0.0,0.375,0,110,54.29999999999994,93.20000000000039,76.25000000000014,75.2000000000001,0,0,72,0,3,0,3,0.0,,0.3575
0.2425,0.0,0.375,0,111,54.54999999999994,93.15000000000039,76.15000000000015,75.10000000000011,0,0,73,0,3,0,3,0.0,,0.3575
0.24375,0.0,0.375,0,112,54.79999999999994,93.10000000000039,76.05000000000015,75.00000000000011,0,0,74,0,3,0,3,0.0,,0.1575
0.2475,0.0,0.375,0,113,55.04999999999994,93.0500000000004,75.95000000000016,74.90000000000012,0,0,75,0,3,0,3,0.0,,0.5575000000000001
0.25,0.0,0.375,0,114,55.29999999999994,93.0000000000004,75.85000000000016,74.80000000000013,0,0,76,0,3,0,3,0.0,,0.3575
0.2525,0.0,0.375,0,115,55.54999999999994,92.9500000000004,75.75000000000017,74.70000000000013,0,0,77,0,3,0,3,0.0,,0.3575
0.255625,0.0,0.375,0,116,55.79999999999994,92.9000000000004,75.65000000000018,74.60000000000014,0,0,78,0,3,0,3,0.0,,0.45749999999999996
0.2575,0.0,0.5,0,117,56.04999999999994,92.8500000000004,75.55000000000018,74.50000000000014,0,0,79,0,4,0,4,0.0,,3.2575
0.26125,0.0,0.5,0,118,56.29999999999994,92.80000000000041,75.45000000000019,74.40000000000015,0,0,80,0,4,0,4,0.0,,0.5575000000000001
0.2625,0.0,0.5,0,119,56.54999999999994,92.75000000000041,75.3500000000002,74.30000000000015,0,0,81,0,4,0,4,0.0,,0.1575
0.265625,0.0,0.5,0,120,56.79999999999994,92.70000000000041,75.2500000000002,74.20000000000016,0,0,82,0,4,0,4,0.0,,0.45749999999999996
0.269375,0.0,0.5,0,121,57.04999999999994,92.65000000000042,75.1500000000002,74.10000000000016,0,0,83,0,4,0,4,0.0,,0.5575000000000001
0.27125,0.0,0.5,0,122,57.29999999999994,92.60000000000042,75.05000000000021,74.00000000000017,0,0,84,0,4,0,4,0.0,,0.2575
0.27375,0.0,0.5,0,123,57.54999999999994,92.55000000000042,74.95000000000022,73.90000000000018,0,0,85,0,4,0,4,0.0,,0.3575
0.275,0.0,0.5,0,124,57.79999999999994,92.50000000000043,74.85000000000022,73.80000000000018,0,0,86,0,4,0,4,0.0,,0.1575
0.278125,0.0,0.5,0,125,58.04999999999994,92.45000000000043,74.75000000000023,73.70000000000019,0,0,87,0,4,0,4,0.0,,0.45749999999999996
0.28,0.0,0.5,0,126,58.29999999999994,92.40000000000043,74.65000000000023,73.6000000000002,0,0,88,0,4,0,4,0.0,,0.2575
0.283125,0.0,0.5,0,127,58.54999999999994,92.35000000000043,74.55000000000024,73.5000000000002,0,0,89,0,4,0,4,0.0,,0.45749999999999996
0.284375,0.0,0.5,0,128,58.79999999999994,92.30000000000044,74.45000000000024,73.4000000000002,0,0,90,0,4,0,4,0.0,,0.1575
0.28875,0.0,0.5,0,129,59.04999999999994,92.25000000000044,74.35000000000025,73.30000000000021,0,0,91,0,4,0,4,0.0,,0.6575000000000001
0.29125,0.0,0.5,0,130,59.29999999999994,92.20000000000044,74.25000000000026,73.20000000000022,0,0,92,0,4,0,4,0.0,,0.3575
0.291875,0.0,0.5,0,131,59.54999999999994,92.15000000000045,74.15000000000026,73.10000000000022,0,0,93,0,4,0,4,0.0,,0.0575
0.29625,0.0,0.5,0,132,59.79999999999994,92.10000000000045,74.05000000000027,73.00000000000023,0,0,94,0,4,0,4,0.0,,0.6575000000000001
0.298125,0.0,0.5,0,133,60.04999999999994,92.05000000000045,73.95000000000027,72.90000000000023,0,0,95,0,4,0,4,0.0,,0.2575
0.3,0.0,0.5,0,134,60.29999999999994,92.00000000000045,73.85000000000028,72.80000000000024,0,0,96,0,4,0,4,0.0,,0.2575
0.304375,0.0,0.5,0,135,60.54999999999994,91.95000000000046,73.75000000000028,72.70000000000024,0,0,97,0,4,0,4,0.0,,0.6575000000000001
0.306875,0.0,0.5,0,136,60.79999999999994,91.90000000000046,73.65000000000029,72.60000000000025,0,0,98,0,4,0,4,0.0,,0.3575
0.308125,0.0,0.5,0,137,61.04999999999994,91.85000000000046,73.5500000000003,72.50000000000026,0,0,99,0,4,0,4,0.0,,0.1575
0.31125,0.0,0.5,0,138,61.29999999999994,91.80000000000047,73.4500000000003,72.40000000000026,0,0,100,0,4,0,4,0.0,,0.45749999999999996
0.3125,0.0,0.5,0,139,61.54999999999994,91.75000000000047,73.3500000000003,72.30000000000027,0,0,101,0,4,0,4,0.0,,0.1575
0.315,0.0,0.5,0,140,61.79999999999994,91.70000000000047,73.25000000000031,72.20000000000027,0,0,102,0,4,0,4,0.0,,0.3575
0.31875,0.0,0.5,0,141,62.04999999999994,91.65000000000047,73.15000000000032,72.10000000000028,0,0,103,0,4,0,4,0.0,,0.5575000000000001
0.32,0.0,0.5,0,142,62.29999999999994,91.60000000000048,73.05000000000032,72.00000000000028,0,0,104,0,4,0,4,0.0,,0.1575
0.32125,0.0,0.5,0,143,62.54999999999994,91.55000000000048,72.95000000000033,71.90000000000029,0,0,105,0,4,0,4,0.0,,0.1575
0.3225,0.0,0.5,0,144,62.79999999999994,91.50000000000048,72.85000000000034,71.8000000000003,0,0,105,0,4,0,4,0.0,,0.1775
0.323125,0.0,0.5,0,145,63.04999999999994,91.45000000000049,72.75000000000034,71.7000000000003,0,0,105,0,4,0,4,0.0,,0.07750000000000001
0.323125,0.0,0.5,0,146,63.29999999999994,91.40000000000049,72.65000000000035,71.6000000000003,0,0,105,0,4,0,4,0.0,,-0.0225
0.32375,0.0,0.5,0,147,63.54999999999994,91.35000000000049,72.55000000000035,71.50000000000031,0,0,105,0,4,0,4,0.0,,0.07750000000000001
0.324375,0.0,0.5,0,148,63.79999999999994,91.3000000000005,72.45000000000036,71.40000000000032,0,0,105,0,4,0,4,0.0,,0.07750000000000001
0.325,0.0,0.5,0,149,64.04999999999994,91.2500000000005,72.35000000000036,71.30000000000032,0,0,105,0,4,0,4,0.0,,0.07750000000000001
0.325,0.0,0.5,0,150,64.29999999999993,91.2000000000005,72.25000000000037,71.20000000000033,0,0,105,0,4,0,4,0.0,,-0.02249999999999929
0.325,0.0,0.5,0,151,64.54999999999991,91.1500000000005,72.15000000000038,71.10000000000034,0,0,105,0,4,0,4,0.0,,-0.02249999999999929
0.325,0.0,0.5,0,152,64.7999999999999,91.1000000000005,72.05000000000038,71.00000000000034,0,0,105,0,4,0,4,0.0,,-0.02249999999999929
0.325,0.0,0.5,0,153,65.04999999999988,91.05000000000051,71.95000000000039,70.90000000000035,0,0,105,0,4,0,4,0.0,,-0.02249999999999929
0.325625,0.0,0.5,0,154,65.29999999999987,91.00000000000051,71.85000000000039,70.80000000000035,0,0,105,0,4,0,5,0.0,,0.07750000000000072
0.32875,0.0,0.5,0,155,65.54999999999986,90.95000000000051,71.7500000000004,70.70000000000036,0,0,105,0,4,0,5,0.0,,0.4775000000000007
0.330625,0.0,0.625,0,156,65.79999999999984,90.90000000000052,71.6500000000004,70.60000000000036,0,0,105,0,5,0,6,0.0,,3.2775000000000007
0.3325,0.0,0.625,0,157,66.04999999999983,90.85000000000052,71.55000000000041,70.50000000000037,0,0,105,0,5,0,6,0.0,,0.27750000000000075
0.33375,0.0,0.625,0,158,66.29999999999981,90.80000000000052,71.45000000000041,70.40000000000038,0,0,105,0,5,0,6,0.0,,0.1775000000000007
0.33625,0.0,0.625,0,159,66.5499999999998,90.75000000000053,71.35000000000042,70.30000000000038,0,0,106,0,5,0,6,0.0,,0.3575000000000007
0.3375,0.0,0.625,0,160,66.79999999999978,90.70000000000053,71.25000000000043,70.20000000000039,0,0,107,0,5,0,6,0.0,,0.15750000000000072
0.34125,0.0,0.625,0,161,67.04999999999977,90.65000000000053,71.15000000000043,70.10000000000039,0,0,108,0,5,0,6,0.0,,0.5575000000000008
0.343125,0.0,0.625,0,162,67.29999999999976,90.60000000000053,71.05000000000044,70.0000000000004,0,0,109,0,5,0,6,0.0,,0.25750000000000073
0.344375,0.0,0.625,0,163,67.54999999999974,90.55000000000054,70.95000000000044,69.9000000000004,0,0,110,0,5,0,6,0.0,,0.15750000000000072
0.348125,0.0,0.625,0,164,67.79999999999973,90.50000000000054,70.85000000000045,69.80000000000041,0,0,111,0,5,0,6,0.0,,0.5575000000000008
0.349375,0.0,0.625,0,165,68.04999999999971,90.45000000000054,70.75000000000045,69.70000000000041,0,0,112,0,5,0,6,0.0,,0.15750000000000072
0.350625,0.0,0.625,0,166,68.2999999999997,90.40000000000055,70.65000000000046,69.60000000000042,0,0,113,0,5,0,6,0.0,,0.15750000000000072
0.355,0.0,0.625,0,167,68.54999999999968,90.35000000000055,70.55000000000047,69.50000000000043,0,0,114,0,5,0,6,0.0,,0.6575000000000008
0.35625,0.0,0.625,0,168,68.79999999999967,90.30000000000055,70.45000000000047,69.40000000000043,0,0,115,0,5,0,6,0.0,,0.15750000000000072
0.359375,0.0,0.625,0,169,69.04999999999966,90.25000000000055,70.35000000000048,69.30000000000044,0,0,116,0,5,0,6,0.0,,0.4575000000000007
0.361875,0.0,0.625,0,170,69.29999999999964,90.20000000000056,70.25000000000048,69.20000000000044,0,0,117,0,5,0,6,0.0,,0.3575000000000007
0.365,0.0,0.625,0,171,69.54999999999963,90.15000000000056,70.15000000000049,69.10000000000045,0,0,118,0,5,0,6,0.0,,0.4575000000000007
0.366875,0.0,0.625,0,172,69.79999999999961,90.10000000000056,70.0500000000005,69.00000000000045,0,0,119,0,5,0,6,0.0,,0.25750000000000073
0.37,0.0,0.625,0,173,70.0499999999996,90.05000000000057,69.9500000000005,68.90000000000046,0,0,120,0,5,0,6,0.0,,0.4575000000000007
0.37125,0.0,0.625,0,174,70.29999999999959,90.00000000000057,69.8500000000005,68.80000000000047,0,0,121,0,5,0,6,0.0,,0.15750000000000072
0.373125,0.0,0.625,0,175,70.54999999999957,89.95000000000057,69.75000000000051,68.70000000000047,0,0,122,0,5,0,6,0.0,,0.25750000000000073
0.37375,0.0,0.625,0,176,70.79999999999956,89.90000000000057,69.65000000000052,68.60000000000048,0,0,123,0,5,0,6,0.0,,0.05750000000000071
0.37375,0.0,0.625,0,177,71.14999999999954,89.75000000000058,69.55000000000052,68.50000000000048,0,0,124,0,5,0,6,0.0,,-0.04749999999999901
0.375,0.0,0.625,0,178,71.39999999999952,89.70000000000059,69.45000000000053,68.40000000000049,0,0,125,0,5,0,6,0.0,,0.15750000000000072
0.375625,0.0,0.625,0,179,71.7499999999995,89.5500000000006,69.35000000000053,68.3000000000005,0,0,126,0,5,0,6,0.0,,0.052500000000001
0.376875,0.0,0.625,0,180,72.09999999999948,89.4000000000006,69.25000000000054,68.2000000000005,0,0,127,0,5,0,6,0.0,,0.152500000000001
0.38,0.0,0.625,0,181,72.44999999999946,89.25000000000061,69.15000000000055,68.1000000000005,0,0,128,0,5,0,6,0.0,,0.45250000000000096
0.3825,0.0,0.625,0,182,72.69999999999945,89.20000000000061,69.05000000000055,68.00000000000051,0,0,129,0,5,0,6,0.0,,0.3575000000000007
0.384375,0.0,0.625,0,183,72.94999999999943,89.15000000000062,68.95000000000056,67.90000000000052,0,0,130,0,5,0,6,0.0,,0.25750000000000073
0.385625,0.0,0.625,0,184,73.19999999999942,89.10000000000062,68.85000000000056,67.80000000000052,0,0,131,0,5,0,6,0.0,,0.15750000000000072
0.3875,0.0,0.625,0,185,73.4499999999994,89.05000000000062,68.75000000000057,67.70000000000053,0,0,132,0,5,0,6,0.0,,0.25750000000000073
0.389375,0.0,0.625,0,186,73.69999999999939,89.00000000000063,68.65000000000057,67.60000000000053,0,0,133,0,5,0,6,0.0,,0.25750000000000073
