update,scenario,env_mode,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction
14,1,capability_aware,-0.4077921864718519,24,0.01625,0.0,0.0,0,39,0,0,-0.0032121483236551285,84.4703140258789,1.6769381761550903,-0.0023223101161420345,0.0
15,1,capability_aware,-0.27488606778206304,24,0.05875,0.0,0.0,0,295,0,0,-0.003942121751606464,23.80367660522461,1.660264015197754,0.00257979822345078,0.0
16,1,capability_aware,0.31967997667743475,25,0.015625,0.0,0.0,0,79,0,0,-0.007901684381067753,181.4584503173828,1.6272478103637695,0.0014759415062144399,0.0
17,1,capability_aware,-0.11768627679975907,25,0.094375,0.0,0.125,0,335,0,0,0.0003125537186861038,108.372802734375,1.5904847383499146,-0.0009933406254276633,0.0
18,1,capability_aware,-0.175719735394523,25,0.158125,0.0,0.125,0,591,0,0,-0.008031909354031086,11.16152572631836,1.6082607507705688,0.0036468952894210815,0.0
19,1,capability_aware,-0.16452273067261558,25,0.19,0.0,0.125,0,847,0,0,-0.015994606539607048,11.456448554992676,1.6136430501937866,0.005221407860517502,0.1354166716337204
20,1,capability_aware,0.009291898255469278,27,0.02,0.0,0.0,0,48,0,0,0.008838198147714138,189.2948455810547,1.624800682067871,0.0011924748541787267,0.0
21,1,capability_aware,0.6738586957762891,27,0.1825,0.0,0.25,0,304,0,0,-0.0050358520820736885,240.53933715820312,1.6595640182495117,0.0009186062961816788,0.0
22,1,capability_aware,-0.17728499099393957,31,0.0325,0.0,0.125,0,29,0,0,-0.004535062238574028,287.0909423828125,1.6311817169189453,0.0008496493683196604,0.0
23,1,capability_aware,0.2948920978451497,33,0.06625,0.0,0.125,0,80,0,0,-0.0027025516610592604,286.4940185546875,1.6399418115615845,0.0025103252846747637,0.0
24,1,capability_aware,0.29063700044662255,33,0.15875,0.0,0.25,0,336,0,0,-0.007539090234786272,59.27570343017578,1.651526927947998,3.4219974622828886e-05,0.0
25,1,capability_aware,0.08192254669302201,33,0.175,0.0,0.25,0,592,0,0,0.00042056525126099586,11.719125747680664,1.6214464902877808,0.004815514665096998,0.0
26,1,capability_aware,0.34094188245217083,33,0.191875,0.125,0.25,0,848,0,0,-0.02053646557033062,59.901344299316406,1.616965651512146,0.006286177784204483,0.1223958358168602
27,1,capability_aware,0.4833403358279611,34,0.03375,0.0,0.0,0,104,0,0,-0.0033044815063476562,90.47127532958984,1.554613471031189,0.004159166943281889,0.2330729216337204
28,1,capability_aware,0.4823039832190261,34,0.274375,0.0,0.125,0,360,0,0,-0.00016059307381510735,114.6473617553711,1.4723454713821411,0.011329114437103271,0.0
29,1,capability_aware,0.03606893998050964,34,0.370625,0.0,0.125,0,616,0,0,-0.006630045361816883,7.039922714233398,1.3977742195129395,0.005237068980932236,0.0
30,1,capability_aware,-0.14574055693719856,34,0.39375,0.0,0.125,0,872,0,0,-0.00624772347509861,6.264988899230957,1.3372195959091187,0.0051739951595664024,0.0
31,1,capability_aware,0.31765059935969475,35,0.066875,0.125,0.25,0,128,0,0,-0.0010880772024393082,150.94129943847656,1.317531943321228,0.003087876597419381,0.0
32,1,capability_aware,-0.08100875719537726,35,0.153125,0.125,0.25,0,384,0,0,-0.001199925784021616,2.127821922302246,1.2939904928207397,0.0031886473298072815,0.0677083358168602
33,1,capability_aware,0.010875750253944716,35,0.295625,0.125,0.25,0,640,0,0,-0.0017437711358070374,4.470335483551025,1.2254116535186768,0.0011185127077624202,0.078125
34,1,capability_aware,0.0519795323116341,35,0.433125,0.125,0.25,0,896,0,0,0.0008199024014174938,6.212944984436035,1.2428227663040161,-0.0014272398548200727,0.0
35,1,capability_aware,0.4507203666453279,36,0.223125,0.0,0.125,0,152,0,0,0.0007195165380835533,187.5209503173828,1.2431272268295288,0.001621164963580668,0.0
36,1,capability_aware,0.4448368792709516,37,0.251875,0.0,0.25,0,178,0,0,-0.000476333312690258,188.30967712402344,1.2616177797317505,-0.0008589173667132854,0.0
