coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,target_distribution,communication_radius,communication_mode,baseline
0.415625,0.0,0.5,0,250,62.50000000000021,87.50000000000071,75.00000000000142,75.00000000000142,1,19,230,0,4,0,7,0.11333333333333333,collision,0,0,0,591.4166860415834,0,1,0,clustered,400.0,hard,hierarchical_task_allocation
0.293125,0.0,0.125,0,178,44.50000000000021,91.1000000000005,82.20000000000101,82.20000000000101,1,5,116,0,1,0,3,0.12172284644194757,collision,0,0,0,755.3484589949874,0,1,1,clustered,400.0,hard,hierarchical_task_allocation
0.281875,0.0,0.0,0,166,40.05000000000019,91.70000000000047,84.1250000000009,83.40000000000094,1,2,99,0,0,0,3,0.09437751004016064,collision,5,5,0,683.441952317496,5,1,2,clustered,400.0,hard,hierarchical_task_allocation
0.469375,0.0,0.5,0,282,55.950000000000166,85.9000000000008,79.0750000000011,71.8000000000016,1,39,234,0,4,0,5,0.11229314420803782,collision,178,178,0,306.4895183926348,178,1,3,clustered,400.0,hard,hierarchical_task_allocation
0.84,0.0,1.0,0,1000,248.69999999999655,50.00000000000284,0.6500000000014045,1.4043488594239761e-12,0,585,910,0,8,0,19,0.552,max_steps_reached,13,13,0,541.9846963452806,13,1,4,clustered,400.0,hard,hierarchical_task_allocation
0.215625,0.0,0.0,0,135,27.650000000000137,93.25000000000038,89.55000000000055,88.80000000000061,1,44,75,0,0,0,2,0.14814814814814814,collision,64,64,0,263.50578797665565,64,1,5,clustered,400.0,hard,hierarchical_task_allocation
0.8375,0.0,0.875,0,1000,249.99999999999656,50.00000000000284,1.4043488594239761e-12,1.4043488594239761e-12,0,47,904,0,7,0,17,0.5533333333333333,max_steps_reached,0,0,0,535.9870056366365,0,1,6,clustered,400.0,hard,hierarchical_task_allocation
0.48,0.0,0.5,0,291,61.10000000000002,85.45000000000083,76.72500000000127,76.30000000000129,1,133,230,0,4,0,5,0.12027491408934708,collision,10,10,0,428.75911867673415,10,1,7,clustered,400.0,hard,hierarchical_task_allocation
0.84125,0.125,1.0,0,1000,249.999999999998,50.00000000000284,7.021744297119881e-13,0.0,0,289,975,0,8,1,16,0.5513333333333333,max_steps_reached,1,1,0,589.7093208881425,1,1,8,clustered,400.0,hard,hierarchical_task_allocation
0.83625,0.125,1.0,0,694,173.64999999999657,65.30000000000197,30.525000000001572,30.450000000001573,1,67,587,0,8,1,14,0.3573487031700288,collision,1,1,0,558.4811823492751,1,1,9,clustered,400.0,hard,hierarchical_task_allocation
0.8425,1.0,1.0,1,704,173.1999999999966,64.800000000002,31.000000000001556,29.550000000001532,0,40,254,0,8,8,13,0.36174242424242425,all_targets_inspected,79,79,0,632.9868902499205,79,1,0,clustered,800.0,hard,hierarchical_task_allocation
0.83375,0.5,1.0,0,580,142.99999999999656,71.00000000000165,43.00000000000172,41.40000000000167,1,97,277,0,8,4,12,0.23333333333333334,collision,9,9,0,802.6067336102036,9,1,1,clustered,800.0,hard,hierarchical_task_allocation
0.808125,0.5,1.0,0,486,110.29999999999744,75.70000000000138,57.000000000001876,56.60000000000191,1,69,212,0,8,4,11,0.11316872427983539,collision,140,140,0,504.4658124131731,140,1,2,clustered,800.0,hard,hierarchical_task_allocation
0.835625,0.625,1.0,0,739,170.94999999999655,63.0500000000021,33.000000000001485,25.500000000001457,1,93,319,0,8,5,14,0.3969327920613442,collision,185,185,0,623.1761763230309,185,1,3,clustered,800.0,hard,hierarchical_task_allocation
0.839375,0.625,1.0,0,574,135.4499999999965,71.30000000000163,46.625000000001734,44.25000000000175,1,74,226,0,8,5,13,0.22009291521486643,collision,117,117,0,497.3014702848985,117,1,4,clustered,800.0,hard,hierarchical_task_allocation
0.68375,0.5,0.875,0,410,79.39999999999932,79.50000000000117,70.5500000000015,68.05000000000166,1,7,142,0,7,4,15,0.11056910569105691,collision,277,277,0,313.1677110392005,277,1,5,clustered,800.0,hard,hierarchical_task_allocation
0.838125,0.875,0.875,0,1000,202.79999999999905,50.00000000000284,23.600000000001447,19.250000000001428,0,22,446,0,7,7,13,0.553,max_steps_reached,372,372,0,485.1106010865327,372,1,6,clustered,800.0,hard,hierarchical_task_allocation
0.83375,0.5,1.0,0,580,129.54999999999652,71.00000000000165,49.72500000000172,42.000000000001734,1,91,293,0,8,4,9,0.23333333333333334,collision,202,202,0,633.9647369765273,202,1,7,clustered,800.0,hard,hierarchical_task_allocation
0.7725,0.5,0.875,0,463,116.34999999999722,76.85000000000132,53.40000000000187,53.100000000001835,1,22,148,0,7,4,8,0.1101511879049676,collision,4,4,0,748.5141881282174,4,1,8,clustered,800.0,hard,hierarchical_task_allocation
0.841875,1.0,1.0,1,796,187.09999999999667,60.20000000000226,26.350000000001444,23.35000000000141,0,40,416,0,8,8,13,0.435929648241206,all_targets_inspected,71,71,0,601.2126334729484,71,1,9,clustered,800.0,hard,hierarchical_task_allocation
0.769375,1.0,1.0,1,464,92.59999999999842,76.80000000000132,65.3000000000018,62.20000000000197,0,2,0,0,8,8,11,0.11566091954022989,all_targets_inspected,280,280,0,255.7407619796439,280,1,0,clustered,1200.0,hard,hierarchical_task_allocation
0.665625,1.0,1.0,1,397,95.79999999999846,80.15000000000113,62.02500000000198,59.85000000000193,0,0,0,0,8,8,11,0.10579345088161209,all_targets_inspected,63,63,0,389.045584814304,63,1,1,clustered,1200.0,hard,hierarchical_task_allocation
0.758125,1.0,1.0,1,453,97.6499999999982,77.35000000000129,62.50000000000195,62.15000000000194,0,1,24,0,8,8,9,0.10743193524650478,all_targets_inspected,203,203,0,362.9486363955822,203,1,2,clustered,1200.0,hard,hierarchical_task_allocation
0.825,1.0,1.0,1,548,120.49999999999702,72.60000000000156,53.45000000000178,46.45000000000176,0,0,4,0,8,8,13,0.19708029197080293,all_targets_inspected,220,220,0,408.44981567866444,220,1,3,clustered,1200.0,hard,hierarchical_task_allocation
0.845,1.0,1.0,1,825,146.19999999999803,58.750000000002345,47.5250000000017,45.200000000001715,0,0,0,0,8,8,15,0.4537373737373737,all_targets_inspected,710,710,0,200.04939934231214,710,1,4,clustered,1200.0,hard,hierarchical_task_allocation
0.8225,1.0,1.0,1,525,90.4999999999986,73.75000000000149,67.8750000000015,66.20000000000164,0,17,4,0,8,8,17,0.16444444444444445,all_targets_inspected,528,528,0,165.55563525296148,528,1,5,clustered,1200.0,hard,hierarchical_task_allocation
0.835,0.875,0.875,0,1000,184.89999999999998,50.00000000000284,32.55000000000157,25.900000000001512,0,13,84,0,7,7,15,0.5546666666666666,max_steps_reached,689,689,0,304.5780638851414,689,1,6,clustered,1200.0,hard,hierarchical_task_allocation
0.823125,1.0,0.875,1,497,108.74999999999766,75.15000000000141,58.05000000000173,49.5500000000018,0,0,12,0,7,8,8,0.11670020120724346,all_targets_inspected,211,211,0,336.86215371326006,211,1,7,clustered,1200.0,hard,hierarchical_task_allocation
0.84125,1.0,1.0,1,563,140.44999999999666,71.8500000000016,43.85000000000174,43.100000000001764,0,0,1,0,8,8,9,0.2030787448194198,all_targets_inspected,30,30,0,354.54184914791955,30,1,8,clustered,1200.0,hard,hierarchical_task_allocation
0.825,1.0,1.0,1,523,112.34999999999762,73.85000000000149,56.90000000000185,56.70000000000179,0,0,0,0,8,8,14,0.1586998087954111,all_targets_inspected,194,194,0,350.98948102147574,194,1,9,clustered,1200.0,hard,hierarchical_task_allocation
0.834375,0.125,0.625,0,1000,249.99999999999795,50.00000000000284,7.021744297119881e-13,0.0,0,589,902,0,5,1,15,0.555,max_steps_reached,1,1,0,696.9995644753982,1,1,0,edge,400.0,hard,hierarchical_task_allocation
