update,scenario,env_mode,rollout_reward_mean,episode_count,coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,collision_count,invalid_action_count,policy_loss,value_loss,entropy,approx_kl,clip_fraction
20,1,assignment_aware,5.0535726661619265,5,0.2875,0.125,0.375,0,146,0,0,-0.0010550862643867731,4607.97509765625,0.7585645318031311,0.0006681884988211095,0.0
21,1,assignment_aware,2.998650180059485,5,0.57125,0.5,0.75,0,402,0,0,-0.0017149716150015593,1862.4368896484375,0.9799407124519348,0.0036910411436110735,0.0
22,1,assignment_aware,1.4470655465556774,5,0.75,0.75,1.0,0,658,0,0,-0.0034229829907417297,174.5720977783203,1.1099933385849,0.004928233101963997,0.00390625
23,1,assignment_aware,1.6280640955046692,6,0.266875,0.0,0.0,0,117,0,0,-0.0013536554761230946,306.2775573730469,1.1058812141418457,0.005210490897297859,0.0013020833721384406
24,1,assignment_aware,1.9719881166056439,6,0.553125,0.375,0.375,0,373,0,0,-0.001525352243334055,401.4949645996094,1.1293467283248901,0.0038283902686089277,0.02864583395421505
25,1,assignment_aware,4.91843552122009,6,0.643125,0.625,0.625,0,629,0,0,-0.003325470257550478,5311.96484375,0.7911017537117004,0.001923418021760881,0.01171875
26,1,assignment_aware,4.6815898773493245,6,0.780625,0.625,0.875,0,885,0,0,-0.011611703783273697,5603.982421875,0.7178652286529541,0.008088762871921062,0.0546875
27,1,assignment_aware,1.336981642896717,7,0.24375,0.0,0.125,0,141,0,0,-0.0066520138643682,754.498291015625,0.9487711787223816,-0.0009670930448919535,0.0442708320915699
28,1,assignment_aware,2.1391029939695727,7,0.544375,0.125,0.25,0,397,0,0,-0.004661688581109047,817.96533203125,1.0609573125839233,0.007325497921556234,0.00390625
29,1,assignment_aware,2.220661915358505,7,0.650625,0.5,0.5,0,653,0,0,-0.0007300069555640221,830.2056884765625,1.1113905906677246,0.004466347862035036,0.0013020833721384406
30,1,assignment_aware,8.132555168122053,7,0.661875,0.5,0.5,0,909,0,0,-7.450580596923828e-09,12379.486328125,0.5100838541984558,-6.677582859992981e-06,0.0
31,1,assignment_aware,3.990211284504767,8,0.34125,0.25,0.5,0,165,0,0,-0.0004175594076514244,3290.36572265625,0.7664276957511902,-0.0002474581415299326,0.0
32,1,assignment_aware,2.0934434748887725,8,0.556875,0.5,0.5,0,421,0,0,-0.002228868193924427,631.2863159179688,1.0320559740066528,0.0030941867735236883,0.014322916977107525
33,1,assignment_aware,1.1993057521103765,8,0.605625,0.625,0.625,0,677,0,0,-0.0009967954829335213,249.79086303710938,1.1580915451049805,0.0027574822306632996,0.0872395858168602
34,1,assignment_aware,5.778402331365214,9,0.016875,0.0,0.0,0,8,0,0,-0.0004884041845798492,8153.52392578125,0.6577163338661194,0.001262478530406952,0.010416666977107525
35,1,assignment_aware,2.49345918482868,9,0.485,0.0,0.125,0,264,0,0,0.0027309597935527563,1074.062744140625,0.8644769787788391,0.004267559852451086,0.0
36,1,assignment_aware,1.0862052028242033,9,0.650625,0.125,0.25,0,520,0,0,-0.005193856544792652,120.1008071899414,1.266537070274353,0.003497024066746235,0.0078125
