step,agent_id,uav_type,x,y,action,action_name,battery,nearest_candidate_distance,in_candidate_range,coverage_ratio,target_detection_rate,inspection_success_rate,collision_count
22,quadrotor_1,quadrotor,285.0,165.0,3,move_west,97.80000000000013,,,0.05625,0.0,0.0,0
23,fixedwing_0,fixedwing,451.4290560042156,518.2678803107462,8,orbit_candidate,98.65000000000008,,,0.0575,0.0,0.0,0
23,quadrotor_0,quadrotor,285.0,75.0,2,move_east,97.70000000000013,,,0.0575,0.0,0.0,0
23,quadrotor_1,quadrotor,270.0,165.0,2,move_east,97.70000000000013,,,0.0575,0.0,0.0,0
24,fixedwing_0,fixedwing,470.7126842948118,541.2492136043156,8,orbit_candidate,98.60000000000008,,,0.060625,0.0,0.0,0
24,quadrotor_0,quadrotor,300.0,75.0,2,move_east,97.60000000000014,,,0.060625,0.0,0.0,0
24,quadrotor_1,quadrotor,285.0,165.0,2,move_east,97.60000000000014,,,0.060625,0.0,0.0,0
25,fixedwing_0,fixedwing,489.996312585408,564.230546897885,8,orbit_candidate,98.55000000000008,,,0.063125,0.0,0.0,0
25,quadrotor_0,quadrotor,315.0,75.0,2,move_east,97.50000000000014,,,0.063125,0.0,0.0,0
25,quadrotor_1,quadrotor,300.0,165.0,3,move_west,97.50000000000014,,,0.063125,0.0,0.0,0
26,fixedwing_0,fixedwing,509.2799408760042,587.2118801914544,5,turn_left,98.50000000000009,,,0.06625,0.0,0.0,0
26,quadrotor_0,quadrotor,330.0,75.0,2,move_east,97.40000000000015,,,0.06625,0.0,0.0,0
26,quadrotor_1,quadrotor,285.0,165.0,3,move_west,97.40000000000015,,,0.06625,0.0,0.0,0
27,fixedwing_0,fixedwing,517.0445122290798,616.1896549801264,8,orbit_candidate,98.3500000000001,,,0.0675,0.0,0.0,0
27,quadrotor_0,quadrotor,345.0,75.0,0,move_north,97.30000000000015,,,0.0675,0.0,0.0,0
27,quadrotor_1,quadrotor,270.0,165.0,0,move_north,97.30000000000015,,,0.0675,0.0,0.0,0
28,fixedwing_0,fixedwing,524.8090835821555,645.1674297687985,8,orbit_candidate,98.3000000000001,,,0.07,0.0,0.0,0
28,quadrotor_0,quadrotor,345.0,90.0,2,move_east,97.20000000000016,,,0.07,0.0,0.0,0
28,quadrotor_1,quadrotor,270.0,180.0,2,move_east,97.20000000000016,,,0.07,0.0,0.0,0
29,fixedwing_0,fixedwing,532.5736549352312,674.1452045574705,8,orbit_candidate,98.2500000000001,,,0.073125,0.0,0.0,0
29,quadrotor_0,quadrotor,360.0,90.0,2,move_east,97.10000000000016,,,0.073125,0.0,0.0,0
29,quadrotor_1,quadrotor,285.0,180.0,2,move_east,97.10000000000016,,,0.073125,0.0,0.0,0
30,fixedwing_0,fixedwing,540.3382262883068,703.1229793461425,8,orbit_candidate,98.2000000000001,,,0.07625,0.0,0.0,0
30,quadrotor_0,quadrotor,375.0,90.0,0,move_north,97.00000000000017,633.1588937419115,0,0.07625,0.0,0.0,0
30,quadrotor_1,quadrotor,300.0,180.0,2,move_east,97.00000000000017,,,0.07625,0.0,0.0,0
31,fixedwing_0,fixedwing,554.9662991655541,729.3149530002593,8,orbit_candidate,98.1500000000001,,,0.07875,0.0,0.0,0
